Watchtower ID: WT3030WFXSP, Postcode: 3030, Population Served: 16718, Watchtower Point of Contact Name: Adam Guess, x: 144.658381, y: -37.920393, Diameter of Cell: 0.133228
Watchtower ID: WT3350NKSMB, Postcode: 3350, Population Served: 59145, Watchtower Point of Contact Name: Robert Walker, x: 143.796353, y: -37.530860, Diameter of Cell: 0.229910
Watchtower ID: WT3805LNWZK, Postcode: 3805, Population Served: 56933, Watchtower Point of Contact Name: Al Howard, x: 145.329975, y: -38.029049, Diameter of Cell: 0.049157
Watchtower ID: WT3216YAONQ, Postcode: 3216, Population Served: 9380, Watchtower Point of Contact Name: Mamie Isenberg, x: 144.357481, y: -38.182120, Diameter of Cell: 0.035317
Watchtower ID: WT3216RRLQT, Postcode: 3216, Population Served: 9380, Watchtower Point of Contact Name: Lucia Nesbit, x: 144.265155, y: -38.195438, Diameter of Cell: 0.130520
Watchtower ID: WT3216JMHUR, Postcode: 3216, Population Served: 9380, Watchtower Point of Contact Name: Brian Funderburk, x: 144.361880, y: -38.189967, Diameter of Cell: 0.029987
Watchtower ID: WT3216XCZZB, Postcode: 3216, Population Served: 9380, Watchtower Point of Contact Name: Joseph Fitzgerald, x: 144.328201, y: -38.183601, Diameter of Cell: 0.128004
Watchtower ID: WT3216DJFMH, Postcode: 3216, Population Served: 9380, Watchtower Point of Contact Name: Carole Ines, x: 144.275696, y: -38.213148, Diameter of Cell: 0.109619
Watchtower ID: WT3216KCMJI, Postcode: 3216, Population Served: 9380, Watchtower Point of Contact Name: Edward Kirby, x: 144.353989, y: -38.194825, Diameter of Cell: 0.064242
Watchtower ID: WT3199YCAXG, Postcode: 3199, Population Served: 54298, Watchtower Point of Contact Name: Karolyn Powers, x: 145.121506, y: -38.149226, Diameter of Cell: 0.128006
Watchtower ID: WT3021GOWCI, Postcode: 3021, Population Served: 10838, Watchtower Point of Contact Name: David Kinkelaar, x: 144.808936, y: -37.760389, Diameter of Cell: 0.038970
Watchtower ID: WT3021WLVBY, Postcode: 3021, Population Served: 10838, Watchtower Point of Contact Name: Grace Delisio, x: 144.766568, y: -37.747572, Diameter of Cell: 0.045827
Watchtower ID: WT3021ZDXUT, Postcode: 3021, Population Served: 10838, Watchtower Point of Contact Name: Joel Koppenhaver, x: 144.790096, y: -37.756561, Diameter of Cell: 0.044199
Watchtower ID: WT3021ETLPZ, Postcode: 3021, Population Served: 10838, Watchtower Point of Contact Name: Bessie Britton, x: 144.821373, y: -37.760708, Diameter of Cell: 0.044178
Watchtower ID: WT3021NRDYD, Postcode: 3021, Population Served: 10838, Watchtower Point of Contact Name: Michael Ford, x: 144.774420, y: -37.723333, Diameter of Cell: 0.036508
Watchtower ID: WT3175IPFYN, Postcode: 3175, Population Served: 17765, Watchtower Point of Contact Name: Thomas Arrington, x: 145.225147, y: -38.022615, Diameter of Cell: 0.068248
Watchtower ID: WT3175NTSYH, Postcode: 3175, Population Served: 17765, Watchtower Point of Contact Name: Howard Hall, x: 145.160657, y: -38.056471, Diameter of Cell: 0.052633
Watchtower ID: WT3175FGGWD, Postcode: 3175, Population Served: 17765, Watchtower Point of Contact Name: Pamela Arch, x: 145.179414, y: -38.079274, Diameter of Cell: 0.063044
Watchtower ID: WT3037YAKEI, Postcode: 3037, Population Served: 25577, Watchtower Point of Contact Name: Paul Watson, x: 144.740438, y: -37.710576, Diameter of Cell: 0.094036
Watchtower ID: WT3037PDFYE, Postcode: 3037, Population Served: 25577, Watchtower Point of Contact Name: Kirk Wells, x: 144.753191, y: -37.679235, Diameter of Cell: 0.088067
Watchtower ID: WT3073SJWMD, Postcode: 3073, Population Served: 12618, Watchtower Point of Contact Name: Eric Brinton, x: 145.004988, y: -37.690723, Diameter of Cell: 0.035242
Watchtower ID: WT3073KMHND, Postcode: 3073, Population Served: 12618, Watchtower Point of Contact Name: Cheryl Johnson, x: 145.004578, y: -37.702736, Diameter of Cell: 0.037963
Watchtower ID: WT3073ONYMR, Postcode: 3073, Population Served: 12618, Watchtower Point of Contact Name: Mike Torres, x: 145.006290, y: -37.711935, Diameter of Cell: 0.038112
Watchtower ID: WT3073PYIIS, Postcode: 3073, Population Served: 12618, Watchtower Point of Contact Name: Christina Drumheller, x: 145.039108, y: -37.722743, Diameter of Cell: 0.046989
Watchtower ID: WT3806QYESS, Postcode: 3806, Population Served: 8086, Watchtower Point of Contact Name: James Escobar, x: 145.331772, y: -37.974401, Diameter of Cell: 0.060256
Watchtower ID: WT3806FONGK, Postcode: 3806, Population Served: 8086, Watchtower Point of Contact Name: Mae Westlie, x: 145.347458, y: -37.998077, Diameter of Cell: 0.041352
Watchtower ID: WT3806ZXAFC, Postcode: 3806, Population Served: 8086, Watchtower Point of Contact Name: Anthony Sanders, x: 145.317032, y: -38.043914, Diameter of Cell: 0.059441
Watchtower ID: WT3806RWKRS, Postcode: 3806, Population Served: 8086, Watchtower Point of Contact Name: Helen Harris, x: 145.386968, y: -38.016407, Diameter of Cell: 0.079833
Watchtower ID: WT3806RCRBI, Postcode: 3806, Population Served: 8086, Watchtower Point of Contact Name: Ronald Clark, x: 145.326940, y: -38.035402, Diameter of Cell: 0.045200
Watchtower ID: WT3806CGOWL, Postcode: 3806, Population Served: 8086, Watchtower Point of Contact Name: Marx Weiner, x: 145.385351, y: -38.016276, Diameter of Cell: 0.056470
Watchtower ID: WT3810RRMDP, Postcode: 3810, Population Served: 47894, Watchtower Point of Contact Name: Shirl Bays, x: 145.543774, y: -38.116421, Diameter of Cell: 0.103601
Watchtower ID: WT3020YBMJJ, Postcode: 3020, Population Served: 14927, Watchtower Point of Contact Name: David Romero, x: 144.813083, y: -37.780180, Diameter of Cell: 0.042803
Watchtower ID: WT3020TBHAH, Postcode: 3020, Population Served: 14927, Watchtower Point of Contact Name: Mark Moore, x: 144.807932, y: -37.786656, Diameter of Cell: 0.050734
Watchtower ID: WT3020IKMGC, Postcode: 3020, Population Served: 14927, Watchtower Point of Contact Name: Zula Nagy, x: 144.851818, y: -37.811373, Diameter of Cell: 0.041737
Watchtower ID: WT3136XMORO, Postcode: 3136, Population Served: 14789, Watchtower Point of Contact Name: Jennifer Annis, x: 145.261049, y: -37.776403, Diameter of Cell: 0.050109
Watchtower ID: WT3136JFBGP, Postcode: 3136, Population Served: 14789, Watchtower Point of Contact Name: Luis Lawson, x: 145.303621, y: -37.811425, Diameter of Cell: 0.026128
Watchtower ID: WT3136OPSQS, Postcode: 3136, Population Served: 14789, Watchtower Point of Contact Name: Harriett Bunch, x: 145.256527, y: -37.783387, Diameter of Cell: 0.046222
Watchtower ID: WT3550MNEUC, Postcode: 3550, Population Served: 10084, Watchtower Point of Contact Name: Aaron Timberlake, x: 144.345480, y: -36.760773, Diameter of Cell: 0.258869
Watchtower ID: WT3550WPDGF, Postcode: 3550, Population Served: 10084, Watchtower Point of Contact Name: Frank Hall, x: 144.305235, y: -36.748338, Diameter of Cell: 0.144495
Watchtower ID: WT3550ANADF, Postcode: 3550, Population Served: 10084, Watchtower Point of Contact Name: Virginia Lumpkins, x: 144.252256, y: -36.758366, Diameter of Cell: 0.113541
Watchtower ID: WT3550ZOAVN, Postcode: 3550, Population Served: 10084, Watchtower Point of Contact Name: Melinda Longoria, x: 144.311542, y: -36.763396, Diameter of Cell: 0.089553
Watchtower ID: WT3174QCCPN, Postcode: 3174, Population Served: 12820, Watchtower Point of Contact Name: Douglas Henley, x: 145.181701, y: -37.962463, Diameter of Cell: 0.035724
Watchtower ID: WT3174SVLFP, Postcode: 3174, Population Served: 12820, Watchtower Point of Contact Name: Linda Pena, x: 145.199755, y: -37.972285, Diameter of Cell: 0.043605
Watchtower ID: WT3174RTNEX, Postcode: 3174, Population Served: 12820, Watchtower Point of Contact Name: Marina King, x: 145.196247, y: -37.945995, Diameter of Cell: 0.042160
Watchtower ID: WT3000MGKPJ, Postcode: 3000, Population Served: 18987, Watchtower Point of Contact Name: Otilia Rykaczewski, x: 144.961712, y: -37.821484, Diameter of Cell: 0.016324
Watchtower ID: WT3000EYYYK, Postcode: 3000, Population Served: 18987, Watchtower Point of Contact Name: Peter Wheeler, x: 144.952771, y: -37.823833, Diameter of Cell: 0.033786
Watchtower ID: WT3754SXJZI, Postcode: 3754, Population Served: 6292, Watchtower Point of Contact Name: Henriette Mitchell, x: 145.161980, y: -37.610574, Diameter of Cell: 0.060831
Watchtower ID: WT3754BUNNX, Postcode: 3754, Population Served: 6292, Watchtower Point of Contact Name: Evelyn Moore, x: 145.181871, y: -37.569228, Diameter of Cell: 0.082067
Watchtower ID: WT3754XKPJP, Postcode: 3754, Population Served: 6292, Watchtower Point of Contact Name: Leslie Bankston, x: 145.068106, y: -37.579396, Diameter of Cell: 0.116193
Watchtower ID: WT3754DQUSN, Postcode: 3754, Population Served: 6292, Watchtower Point of Contact Name: Ella Rohrbacher, x: 145.126408, y: -37.611350, Diameter of Cell: 0.051968
Watchtower ID: WT3754YEIRW, Postcode: 3754, Population Served: 6292, Watchtower Point of Contact Name: Michael Etienne, x: 145.155506, y: -37.565290, Diameter of Cell: 0.053576
Watchtower ID: WT3754WSOKP, Postcode: 3754, Population Served: 6292, Watchtower Point of Contact Name: James Lopez, x: 145.113780, y: -37.609276, Diameter of Cell: 0.057051
Watchtower ID: WT3156TLXBQ, Postcode: 3156, Population Served: 9366, Watchtower Point of Contact Name: Rita Singh, x: 145.247658, y: -37.916178, Diameter of Cell: 0.025264
Watchtower ID: WT3156OVCXT, Postcode: 3156, Population Served: 9366, Watchtower Point of Contact Name: Amy Fisk, x: 145.322002, y: -37.903368, Diameter of Cell: 0.046413
Watchtower ID: WT3156RMYYL, Postcode: 3156, Population Served: 9366, Watchtower Point of Contact Name: Mark Fernandez, x: 145.275282, y: -37.945634, Diameter of Cell: 0.016109
Watchtower ID: WT3156ALZRL, Postcode: 3156, Population Served: 9366, Watchtower Point of Contact Name: Michelle Belk, x: 145.269183, y: -37.946946, Diameter of Cell: 0.027372
Watchtower ID: WT3337ZQWGM, Postcode: 3337, Population Served: 36454, Watchtower Point of Contact Name: Casey Dalton, x: 144.570091, y: -37.643704, Diameter of Cell: 0.213925
Watchtower ID: WT3429TMHZA, Postcode: 3429, Population Served: 6049, Watchtower Point of Contact Name: Anna Whitley, x: 144.707678, y: -37.592404, Diameter of Cell: 0.114214
Watchtower ID: WT3429AKNKO, Postcode: 3429, Population Served: 6049, Watchtower Point of Contact Name: Wilbur Jones, x: 144.828599, y: -37.484572, Diameter of Cell: 0.167700
Watchtower ID: WT3429QUOWL, Postcode: 3429, Population Served: 6049, Watchtower Point of Contact Name: George White, x: 144.701162, y: -37.588458, Diameter of Cell: 0.118989
Watchtower ID: WT3429OIZPS, Postcode: 3429, Population Served: 6049, Watchtower Point of Contact Name: Michele Mitchell, x: 144.734053, y: -37.535127, Diameter of Cell: 0.110221
Watchtower ID: WT3429FPUNU, Postcode: 3429, Population Served: 6049, Watchtower Point of Contact Name: Jeffrey Cuevas, x: 144.788948, y: -37.535758, Diameter of Cell: 0.107993
Watchtower ID: WT3429ATTSU, Postcode: 3429, Population Served: 6049, Watchtower Point of Contact Name: Tony Rivera, x: 144.826418, y: -37.531046, Diameter of Cell: 0.118235
Watchtower ID: WT3195IOEZA, Postcode: 3195, Population Served: 35869, Watchtower Point of Contact Name: Hazel Seal, x: 145.098631, y: -38.025200, Diameter of Cell: 0.124626
Watchtower ID: WT3046TSZCB, Postcode: 3046, Population Served: 8515, Watchtower Point of Contact Name: Bryan Lewis, x: 144.958229, y: -37.721432, Diameter of Cell: 0.023008
Watchtower ID: WT3046SSWEX, Postcode: 3046, Population Served: 8515, Watchtower Point of Contact Name: Claudia Johnson, x: 144.939018, y: -37.711136, Diameter of Cell: 0.029822
Watchtower ID: WT3046QLKKF, Postcode: 3046, Population Served: 8515, Watchtower Point of Contact Name: Brett Hughes, x: 144.957758, y: -37.695214, Diameter of Cell: 0.037623
Watchtower ID: WT3046ADKBS, Postcode: 3046, Population Served: 8515, Watchtower Point of Contact Name: Morris Pring, x: 144.943174, y: -37.716598, Diameter of Cell: 0.025099
Watchtower ID: WT3058GAJIA, Postcode: 3058, Population Served: 11259, Watchtower Point of Contact Name: Lillian Williams, x: 144.955095, y: -37.722677, Diameter of Cell: 0.024363
Watchtower ID: WT3058QBBEK, Postcode: 3058, Population Served: 11259, Watchtower Point of Contact Name: Lisa Silas, x: 144.947716, y: -37.724319, Diameter of Cell: 0.017721
Watchtower ID: WT3058PMYON, Postcode: 3058, Population Served: 11259, Watchtower Point of Contact Name: John Orlikowski, x: 144.966068, y: -37.724892, Diameter of Cell: 0.040600
Watchtower ID: WT3178DBGVI, Postcode: 3178, Population Served: 5612, Watchtower Point of Contact Name: Mary Woody, x: 145.240277, y: -37.930368, Diameter of Cell: 0.038103
Watchtower ID: WT3178ZDEXK, Postcode: 3178, Population Served: 5612, Watchtower Point of Contact Name: Jeffrey Johnson, x: 145.249886, y: -37.924526, Diameter of Cell: 0.023256
Watchtower ID: WT3178MNYBC, Postcode: 3178, Population Served: 5612, Watchtower Point of Contact Name: Timothy Padilla, x: 145.276898, y: -37.937608, Diameter of Cell: 0.043752
Watchtower ID: WT3178KYQIS, Postcode: 3178, Population Served: 5612, Watchtower Point of Contact Name: George Langley, x: 145.229893, y: -37.906293, Diameter of Cell: 0.037051
Watchtower ID: WT3178XTNBB, Postcode: 3178, Population Served: 5612, Watchtower Point of Contact Name: Olga Hale, x: 145.246946, y: -37.933192, Diameter of Cell: 0.037033
Watchtower ID: WT3178BQAJG, Postcode: 3178, Population Served: 5612, Watchtower Point of Contact Name: Malka Smith, x: 145.269594, y: -37.918875, Diameter of Cell: 0.043984
Watchtower ID: WT3149NUQMB, Postcode: 3149, Population Served: 11203, Watchtower Point of Contact Name: Mary Finley, x: 145.119362, y: -37.858497, Diameter of Cell: 0.028199
Watchtower ID: WT3149SEGNE, Postcode: 3149, Population Served: 11203, Watchtower Point of Contact Name: Cherry Winstead, x: 145.117147, y: -37.879723, Diameter of Cell: 0.026846
Watchtower ID: WT3149HQJPC, Postcode: 3149, Population Served: 11203, Watchtower Point of Contact Name: Nancy Newton, x: 145.123405, y: -37.887160, Diameter of Cell: 0.035596
Watchtower ID: WT3690NYJLB, Postcode: 3690, Population Served: 5586, Watchtower Point of Contact Name: Adam Peacock, x: 146.823454, y: -36.095775, Diameter of Cell: 0.088599
Watchtower ID: WT3690PQEQB, Postcode: 3690, Population Served: 5586, Watchtower Point of Contact Name: Richard Lewis, x: 146.800858, y: -36.064527, Diameter of Cell: 2.234648
Watchtower ID: WT3690FWDEV, Postcode: 3690, Population Served: 5586, Watchtower Point of Contact Name: Robin Hartman, x: 146.834548, y: -36.162470, Diameter of Cell: 0.208696
Watchtower ID: WT3690HZOLB, Postcode: 3690, Population Served: 5586, Watchtower Point of Contact Name: Willie Ibarra, x: 146.838113, y: -36.116576, Diameter of Cell: 0.055944
Watchtower ID: WT3690VPZWP, Postcode: 3690, Population Served: 5586, Watchtower Point of Contact Name: Rick Spencer, x: 146.812010, y: -36.124712, Diameter of Cell: 0.137683
Watchtower ID: WT3690XHHWT, Postcode: 3690, Population Served: 5586, Watchtower Point of Contact Name: Susan Goggin, x: 146.880884, y: -36.103170, Diameter of Cell: 0.788342
Watchtower ID: WT3152USNWQ, Postcode: 3152, Population Served: 6618, Watchtower Point of Contact Name: Amber Hedin, x: 145.227983, y: -37.853243, Diameter of Cell: 0.037110
Watchtower ID: WT3152NPPZC, Postcode: 3152, Population Served: 6618, Watchtower Point of Contact Name: Mildred Farry, x: 145.199756, y: -37.850620, Diameter of Cell: 0.032685
Watchtower ID: WT3152AZNOY, Postcode: 3152, Population Served: 6618, Watchtower Point of Contact Name: Chong Chavez, x: 145.214977, y: -37.853349, Diameter of Cell: 0.036585
Watchtower ID: WT3152TQIAV, Postcode: 3152, Population Served: 6618, Watchtower Point of Contact Name: Harold Baron, x: 145.194773, y: -37.877961, Diameter of Cell: 0.045589
Watchtower ID: WT3152FHNAO, Postcode: 3152, Population Served: 6618, Watchtower Point of Contact Name: Craig Sloan, x: 145.253619, y: -37.841105, Diameter of Cell: 0.030276
Watchtower ID: WT3072RYLDO, Postcode: 3072, Population Served: 32851, Watchtower Point of Contact Name: Alexandria Porter, x: 144.994314, y: -37.738832, Diameter of Cell: 0.044950
Watchtower ID: WT3134DTGBI, Postcode: 3134, Population Served: 6556, Watchtower Point of Contact Name: Allen Sheppard, x: 145.220938, y: -37.767872, Diameter of Cell: 0.050725
Watchtower ID: WT3134JYPDI, Postcode: 3134, Population Served: 6556, Watchtower Point of Contact Name: Virgil Thomas, x: 145.236083, y: -37.817781, Diameter of Cell: 0.027674
Watchtower ID: WT3134VAQRO, Postcode: 3134, Population Served: 6556, Watchtower Point of Contact Name: Chase Scott, x: 145.213599, y: -37.826900, Diameter of Cell: 0.038048
Watchtower ID: WT3134NJHRS, Postcode: 3134, Population Served: 6556, Watchtower Point of Contact Name: Odessa Eplin, x: 145.233145, y: -37.790852, Diameter of Cell: 0.037359
Watchtower ID: WT3134ZAWJS, Postcode: 3134, Population Served: 6556, Watchtower Point of Contact Name: Elijah Becker, x: 145.223172, y: -37.806486, Diameter of Cell: 0.038100
Watchtower ID: WT3076LVYFZ, Postcode: 3076, Population Served: 32395, Watchtower Point of Contact Name: Larry Menke, x: 144.965424, y: -37.646605, Diameter of Cell: 0.091180
Watchtower ID: WT3130PLSQY, Postcode: 3130, Population Served: 8043, Watchtower Point of Contact Name: Jose Hayes, x: 145.137648, y: -37.828084, Diameter of Cell: 0.028552
Watchtower ID: WT3130XMUNW, Postcode: 3130, Population Served: 8043, Watchtower Point of Contact Name: Cathy Powell, x: 145.134549, y: -37.814072, Diameter of Cell: 0.028069
Watchtower ID: WT3130RXPQD, Postcode: 3130, Population Served: 8043, Watchtower Point of Contact Name: Lonnie Morgan, x: 145.149939, y: -37.803879, Diameter of Cell: 0.037165
Watchtower ID: WT3130MLSKB, Postcode: 3130, Population Served: 8043, Watchtower Point of Contact Name: Jeanine Roberts, x: 145.157588, y: -37.837006, Diameter of Cell: 0.032300
Watchtower ID: WT3280BGQFC, Postcode: 3280, Population Served: 7892, Watchtower Point of Contact Name: Christina Myers, x: 142.512408, y: -38.346525, Diameter of Cell: 0.270259
Watchtower ID: WT3280ZNNGF, Postcode: 3280, Population Served: 7892, Watchtower Point of Contact Name: Dorine Taylor, x: 142.541281, y: -38.324696, Diameter of Cell: 0.298377
Watchtower ID: WT3280ICHQC, Postcode: 3280, Population Served: 7892, Watchtower Point of Contact Name: Daniel Holt, x: 142.472561, y: -38.374937, Diameter of Cell: 0.909005
Watchtower ID: WT3280GVPRD, Postcode: 3280, Population Served: 7892, Watchtower Point of Contact Name: Rebecca Robinson, x: 142.472320, y: -38.374727, Diameter of Cell: 0.355443
Watchtower ID: WT3083VQQFF, Postcode: 3083, Population Served: 31526, Watchtower Point of Contact Name: Michael Kelsheimer, x: 145.024324, y: -37.711540, Diameter of Cell: 0.038034
Watchtower ID: WT3630PRZEM, Postcode: 3630, Population Served: 10424, Watchtower Point of Contact Name: Marguerite Gibson, x: 145.646518, y: -36.524946, Diameter of Cell: 0.276590
Watchtower ID: WT3630FANLS, Postcode: 3630, Population Served: 10424, Watchtower Point of Contact Name: Christopher Pate, x: 145.634902, y: -36.409801, Diameter of Cell: 0.137133
Watchtower ID: WT3630SIKVF, Postcode: 3630, Population Served: 10424, Watchtower Point of Contact Name: Cecilia Pipes, x: 145.670209, y: -36.381817, Diameter of Cell: 0.182494
Watchtower ID: WT3551OSDGB, Postcode: 3551, Population Served: 5913, Watchtower Point of Contact Name: Dario Miller, x: 143.961224, y: -36.661101, Diameter of Cell: 0.287561
Watchtower ID: WT3551WUHGQ, Postcode: 3551, Population Served: 5913, Watchtower Point of Contact Name: Julia Harris, x: 144.598697, y: -36.710680, Diameter of Cell: 0.210803
Watchtower ID: WT3551HZNZJ, Postcode: 3551, Population Served: 5913, Watchtower Point of Contact Name: Philip Whiteside, x: 144.479678, y: -36.720051, Diameter of Cell: 0.273986
Watchtower ID: WT3551EWIYX, Postcode: 3551, Population Served: 5913, Watchtower Point of Contact Name: Jonathan Poindexter, x: 143.729350, y: -36.766053, Diameter of Cell: 0.413303
Watchtower ID: WT3551WUGIW, Postcode: 3551, Population Served: 5913, Watchtower Point of Contact Name: Hans Miranda, x: 144.533334, y: -36.564553, Diameter of Cell: 0.327843
Watchtower ID: WT3032GFFPO, Postcode: 3032, Population Served: 7362, Watchtower Point of Contact Name: Richard Walker, x: 144.886118, y: -37.784120, Diameter of Cell: 0.019853
Watchtower ID: WT3032OQZEL, Postcode: 3032, Population Served: 7362, Watchtower Point of Contact Name: Nancy Ward, x: 144.919350, y: -37.763854, Diameter of Cell: 0.022314
Watchtower ID: WT3032PNVIB, Postcode: 3032, Population Served: 7362, Watchtower Point of Contact Name: Allen Paulsen, x: 144.888861, y: -37.787186, Diameter of Cell: 0.021808
Watchtower ID: WT3032PWVMB, Postcode: 3032, Population Served: 7362, Watchtower Point of Contact Name: William Mackiewicz, x: 144.875597, y: -37.790831, Diameter of Cell: 0.027839
Watchtower ID: WT3028EVTUZ, Postcode: 3028, Population Served: 9733, Watchtower Point of Contact Name: Andrew Johnson, x: 144.762926, y: -37.899242, Diameter of Cell: 0.239715
Watchtower ID: WT3028RFCNS, Postcode: 3028, Population Served: 9733, Watchtower Point of Contact Name: Billie Sterner, x: 144.804421, y: -37.849131, Diameter of Cell: 0.091421
Watchtower ID: WT3028CNGER, Postcode: 3028, Population Served: 9733, Watchtower Point of Contact Name: Clara Lee, x: 144.763792, y: -37.867552, Diameter of Cell: 0.055329
Watchtower ID: WT3844EDHDX, Postcode: 3844, Population Served: 28980, Watchtower Point of Contact Name: Tammy Mayweather, x: 146.437145, y: -38.322928, Diameter of Cell: 0.160203
Watchtower ID: WT3109XTNYN, Postcode: 3109, Population Served: 14180, Watchtower Point of Contact Name: Raymond Bates, x: 145.159100, y: -37.804169, Diameter of Cell: 0.020696
Watchtower ID: WT3109HXEBH, Postcode: 3109, Population Served: 14180, Watchtower Point of Contact Name: Wanda Johnson, x: 145.179736, y: -37.783988, Diameter of Cell: 0.051432
Watchtower ID: WT3095OIJVG, Postcode: 3095, Population Served: 27771, Watchtower Point of Contact Name: Jessica Kubis, x: 145.172785, y: -37.699251, Diameter of Cell: 0.035849
Watchtower ID: WT3038XJJWS, Postcode: 3038, Population Served: 9087, Watchtower Point of Contact Name: Darlene Anderson, x: 144.799691, y: -37.723595, Diameter of Cell: 0.035730
Watchtower ID: WT3038BSCPT, Postcode: 3038, Population Served: 9087, Watchtower Point of Contact Name: Betty Claar, x: 144.810117, y: -37.712753, Diameter of Cell: 0.059431
Watchtower ID: WT3038DWSIG, Postcode: 3038, Population Served: 9087, Watchtower Point of Contact Name: William Bona, x: 144.776012, y: -37.718098, Diameter of Cell: 0.028611
Watchtower ID: WT3044ONLDH, Postcode: 3044, Population Served: 9038, Watchtower Point of Contact Name: Floyd Coffman, x: 144.933107, y: -37.735559, Diameter of Cell: 0.019264
Watchtower ID: WT3044KLBHH, Postcode: 3044, Population Served: 9038, Watchtower Point of Contact Name: Rosemary Anthony, x: 144.942531, y: -37.746136, Diameter of Cell: 0.029294
Watchtower ID: WT3044ADHAA, Postcode: 3044, Population Served: 9038, Watchtower Point of Contact Name: Harold Farnell, x: 144.944255, y: -37.735559, Diameter of Cell: 0.028229
Watchtower ID: WT3040KJDIV, Postcode: 3040, Population Served: 6484, Watchtower Point of Contact Name: Barbara Venegas, x: 144.913220, y: -37.757206, Diameter of Cell: 0.025141
Watchtower ID: WT3040TFPXX, Postcode: 3040, Population Served: 6484, Watchtower Point of Contact Name: Chris Spencer, x: 144.891104, y: -37.760651, Diameter of Cell: 0.029219
Watchtower ID: WT3040IFXWW, Postcode: 3040, Population Served: 6484, Watchtower Point of Contact Name: Lynn Ibara, x: 144.926840, y: -37.742336, Diameter of Cell: 0.022198
Watchtower ID: WT3040BUQSL, Postcode: 3040, Population Served: 6484, Watchtower Point of Contact Name: Wyatt Shaffer, x: 144.930558, y: -37.755051, Diameter of Cell: 0.030650
Watchtower ID: WT3173PDSBH, Postcode: 3173, Population Served: 5157, Watchtower Point of Contact Name: Grace Owens, x: 145.194455, y: -38.021476, Diameter of Cell: 0.057692
Watchtower ID: WT3173LSIEZ, Postcode: 3173, Population Served: 5157, Watchtower Point of Contact Name: Peggy Barb, x: 145.145470, y: -37.992159, Diameter of Cell: 0.054377
